,Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
374,President/Vice President,Approval Voting Party,MORGAN,Blake Huber / Frank Atwood,0,
375,President/Vice President,Approval Voting Party,OTERO,Blake Huber / Frank Atwood,3,
376,President/Vice President,Approval Voting Party,OURAY,Blake Huber / Frank Atwood,0,
377,President/Vice President,Approval Voting Party,PARK,Blake Huber / Frank Atwood,0,
378,President/Vice President,Approval Voting Party,PHILLIPS,Blake Huber / Frank Atwood,0,
379,President/Vice President,Approval Voting Party,PITKIN,Blake Huber / Frank Atwood,0,
380,President/Vice President,Approval Voting Party,PROWERS,Blake Huber / Frank Atwood,0,
381,President/Vice President,Approval Voting Party,PUEBLO,Blake Huber / Frank Atwood,12,
382,President/Vice President,Approval Voting Party,RIO BLANCO,Blake Huber / Frank Atwood,0,
383,President/Vice President,Approval Voting Party,RIO GRANDE,Blake Huber / Frank Atwood,1,
384,President/Vice President,Approval Voting Party,ROUTT,Blake Huber / Frank Atwood,0,
385,President/Vice President,Approval Voting Party,SAGUACHE,Blake Huber / Frank Atwood,0,
386,President/Vice President,Approval Voting Party,SAN JUAN,Blake Huber / Frank Atwood,0,
387,President/Vice President,Approval Voting Party,SAN MIGUEL,Blake Huber / Frank Atwood,0,
388,President/Vice President,Approval Voting Party,SEDGWICK,Blake Huber / Frank Atwood,0,
389,President/Vice President,Approval Voting Party,SUMMIT,Blake Huber / Frank Atwood,3,
390,President/Vice President,Approval Voting Party,TELLER,Blake Huber / Frank Atwood,1,
391,President/Vice President,Approval Voting Party,WASHINGTON,Blake Huber / Frank Atwood,1,
392,President/Vice President,Approval Voting Party,WELD,Blake Huber / Frank Atwood,18,
393,President/Vice President,Approval Voting Party,YUMA,Blake Huber / Frank Atwood,0,
394,President/Vice President,Approval Voting Party,,Blake Huber / Frank Atwood Total Votes,355,
395,President/Vice President,Approval Voting Party,,Blake Huber / Frank Atwood Vote %,0.01%,
